text,sentiment,sentiment_source,target_brand,source,text_length,word_count,tweet_id,date
"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",Positive,Brand-Specific,Android App,Provided,133,22,12,
Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,Positive,Brand-Specific,Other Google product or service,Provided,142,19,13,
Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,Positive,Brand-Specific,iPad or iPhone App,Provided,65,7,14,
"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",Positive,Brand-Specific,iPad or iPhone App,Provided,82,10,15,
Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,Neutral,Brand-Specific,Unknown,Provided,92,14,16,
I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,Negative,Brand-Specific,iPhone,Provided,128,24,17,
"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",Positive,Brand-Specific,iPad or iPhone App,Provided,126,19,18,
Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,Positive,Brand-Specific,iPad or iPhone App,Provided,118,19,19,
Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,Positive,Brand-Specific,iPad,Provided,106,24,20,
"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",Positive,Brand-Specific,iPad or iPhone App,Provided,127,23,21,
"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Positive,Brand-Specific,Android App,Provided,82,13,22,
"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",Positive,Brand-Specific,iPad or iPhone App,Provided,94,12,23,
Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Positive,Brand-Specific,Android App,Provided,144,24,24,
"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",Positive,Brand-Specific,iPad,Provided,155,24,25,
"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",Positive,Brand-Specific,iPad or iPhone App,Provided,107,13,26,
"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Positive,Brand-Specific,Other Google product or service,Provided,84,12,27,
The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,Positive,Brand-Specific,iPad or iPhone App,Provided,139,21,28,
"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Positive,Brand-Specific,Android App,Provided,94,18,29,
Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),Positive,Brand-Specific,iPad or iPhone App,Provided,115,17,30,
You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,Positive,Brand-Specific,iPad or iPhone App,Provided,134,16,31,
"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",Neutral,Brand-Specific,Unknown,Provided,99,15,32,
Anyone at  #sxsw want to sell their old iPad?,Neutral,Brand-Specific,Unknown,Provided,45,9,33,
Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,Neutral,Brand-Specific,Unknown,Provided,77,16,34,
"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",Neutral,Brand-Specific,Unknown,Provided,108,17,35,
The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,Positive,Brand-Specific,iPad,Provided,141,22,36,
SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,Neutral,Brand-Specific,Unknown,Provided,117,20,37,
@mention  - False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Negative,Brand-Specific,Google,Provided,119,18,38,
VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,Neutral,Brand-Specific,Unknown,Provided,70,12,39,
@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Positive,Brand-Specific,Apple,Provided,144,23,40,
"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youÛªre getting friend... {link}",Neutral,Brand-Specific,Unknown,Provided,128,18,41,
Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weÛªll make you one!,Neutral,Brand-Specific,Unknown,Provided,129,25,42,
Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},Neutral,Brand-Specific,Unknown,Provided,74,13,43,
For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},Neutral,Brand-Specific,Unknown,Provided,123,21,44,
#IPad2 's Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,Positive,Brand-Specific,iPad or iPhone App,Provided,108,19,45,
Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app #SXSW {link},Positive,Brand-Specific,Unknown,Provided,91,12,46,
HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Positive,Brand-Specific,Apple,Provided,91,16,47,
Orly....? ÛÏ@mention Google set to launch new social network #Circles today at #sxswÛ,Neutral,Brand-Specific,Unknown,Provided,88,13,48,
wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ,Positive,Brand-Specific,Apple,Provided,77,10,49,
Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,Neutral,Brand-Specific,Unknown,Provided,141,19,50,
"ÛÏ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",Neutral,Brand-Specific,Unknown,Provided,128,21,51,
÷¼ WHAT? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,Neutral,Brand-Specific,Unknown,Provided,79,11,52,
".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",Neutral,Brand-Specific,Unknown,Provided,92,14,53,
ÛÏ@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswÛ @mention,Neutral,Brand-Specific,Unknown,Provided,117,16,54,
ÛÏ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswÛ,Positive,Brand-Specific,Google,Provided,117,17,55,
"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",Neutral,Brand-Specific,Unknown,Provided,145,21,56,
{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,Positive,Brand-Specific,iPad,Provided,127,26,57,
{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},Neutral,Brand-Specific,Unknown,Provided,90,16,58,
@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},Neutral,Brand-Specific,Unknown,Provided,75,11,59,
&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,Neutral,Brand-Specific,Unknown,Provided,126,20,60,
"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",Neutral,Brand-Specific,Unknown,Provided,90,15,61,
#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Positive,Brand-Specific,Apple,Provided,120,19,62,
"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Neutral,Brand-Specific,Apple,Provided,145,24,63,
Again? RT @mention Line at the Apple store is insane.. #sxsw,Negative,Brand-Specific,Unknown,Provided,60,11,64,
Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,Neutral,Brand-Specific,Unknown,Provided,141,26,65,
At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,Neutral,Brand-Specific,Unknown,Provided,88,18,66,
attending @mention iPad design headaches #sxsw {link},Negative,Brand-Specific,iPad,Provided,53,7,67,
"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",Negative,Brand-Specific,Unknown,Provided,94,14,68,
Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},Positive,Brand-Specific,iPad,Provided,114,20,69,
Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,Neutral,Brand-Specific,Unknown,Provided,117,18,70,
Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,Neutral,Brand-Specific,Unknown,Provided,136,21,71,
"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Positive,Brand-Specific,Google,Provided,119,21,72,
Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},Neutral,Brand-Specific,Unknown,Provided,123,16,73,
"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",Neutral,Brand-Specific,Unknown,Provided,134,23,74,
Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Positive,Brand-Specific,Google,Provided,77,14,75,
I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,Positive,Brand-Specific,iPhone,Provided,82,18,76,
I worship @mention {link} #SXSW,Neutral,Brand-Specific,Unknown,Provided,31,5,77,
"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",Neutral,Brand-Specific,Unknown,Provided,129,21,78,
"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",Neutral,Brand-Specific,Unknown,Provided,123,17,79,
New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,Positive,Brand-Specific,iPad or iPhone App,Provided,112,20,80,
Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,Positive,Brand-Specific,iPad or iPhone App,Provided,89,13,81,
Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,Neutral,Brand-Specific,Unknown,Provided,112,18,82,
"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Positive,Brand-Specific,Apple,Provided,123,23,83,
"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Positive,Brand-Specific,Google,Provided,131,28,84,
Stay tune @mention showcase #H4ckers {link} #SXSW,Neutral,Brand-Specific,Unknown,Provided,49,7,85,
Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},Neutral,Brand-Specific,Unknown,Provided,91,14,86,
Thank you @mention for an awesome #sxsw party! {link},Neutral,Brand-Specific,Unknown,Provided,53,9,87,
"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",Neutral,Brand-Specific,Unknown,Provided,126,21,88,
Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,Positive,Brand-Specific,iPad or iPhone App,Provided,118,21,89,
Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh,Uncertain,Brand-Specific,Unknown,Provided,116,20,90,
Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,Neutral,Brand-Specific,Unknown,Provided,120,21,91,
What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,Negative,Brand-Specific,iPhone,Provided,106,17,92,
Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,Neutral,Brand-Specific,Unknown,Provided,92,14,93,
Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,Neutral,Brand-Specific,Unknown,Provided,72,12,94,
"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",Positive,Brand-Specific,iPad,Provided,136,22,95,
Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},Positive,Brand-Specific,iPhone,Provided,122,20,96,
"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",Neutral,Brand-Specific,Unknown,Provided,101,18,97,
"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Positive,Brand-Specific,Google,Provided,90,15,98,
GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,Neutral,Brand-Specific,Unknown,Provided,110,16,99,
"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",Neutral,Brand-Specific,Unknown,Provided,128,18,100,
Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,Positive,Brand-Specific,iPad,Provided,119,19,101,
ÛÏ@mention &quot;Apple has opened a pop-up store in Austin so the nerds in town for #SXSW can get their new iPads. {link} #wow,Uncertain,Brand-Specific,Unknown,Provided,127,23,102,
Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,Negative,Brand-Specific,Unknown,Provided,100,13,103,
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Positive,Brand-Specific,Google,Provided,121,19,104,
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",Neutral,Brand-Specific,Unknown,Provided,135,21,105,
"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.Û",Positive,Brand-Specific,Google,Provided,141,19,106,
"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",Neutral,Brand-Specific,Unknown,Provided,143,22,107,
#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link},Neutral,Brand-Specific,Unknown,Provided,130,15,108,
"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Positive,Brand-Specific,Apple,Provided,137,19,109,
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,Neutral,Brand-Specific,Unknown,Provided,95,12,110,
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Positive,Brand-Specific,Apple,Provided,109,14,111,
Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},Positive,Brand-Specific,Unknown,Provided,85,16,112,
"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",Neutral,Brand-Specific,Unknown,Provided,57,8,113,
"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",Positive,Brand-Specific,iPad,Provided,130,22,114,
"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",Neutral,Brand-Specific,Unknown,Provided,74,13,115,
"At #SXSW, #Apple schools the marketing experts - {link}",Positive,Brand-Specific,Apple,Provided,55,9,116,
"At #SXSW, #Apple schools the marketing experts {link}",Neutral,Brand-Specific,Unknown,Provided,53,8,117,
"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Positive,Brand-Specific,Apple,Provided,77,14,118,
"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Positive,Brand-Specific,Apple,Provided,92,15,119,
ÛÏ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Positive,Brand-Specific,Apple,Provided,122,20,120,
#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,Positive,Brand-Specific,iPad,Provided,78,14,121,
"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",Neutral,Brand-Specific,Unknown,Provided,109,18,122,
Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,Neutral,Brand-Specific,Unknown,Provided,127,23,123,
Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,Positive,Brand-Specific,iPad or iPhone App,Provided,117,24,124,
#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. An unexpected experience can be good.,Neutral,Brand-Specific,Unknown,Provided,138,23,125,
The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,Positive,Brand-Specific,iPad,Provided,104,19,126,
I can haz #iPad2 ifrom #SxSW Gr8 {link},Positive,Brand-Specific,iPad,Provided,39,8,127,
"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",Positive,Brand-Specific,iPad,Provided,115,21,128,
"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",Neutral,Brand-Specific,Unknown,Provided,103,16,129,
"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",Neutral,Brand-Specific,Unknown,Provided,87,15,130,
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,Positive,Brand-Specific,Unknown,Provided,102,17,131,
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,Neutral,Brand-Specific,Unknown,Provided,101,17,132,
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",Neutral,Brand-Specific,Unknown,Provided,74,11,133,
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",Neutral,Brand-Specific,Unknown,Provided,92,14,134,
"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",Positive,Brand-Specific,iPhone,Provided,120,21,135,
"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Positive,Brand-Specific,Apple,Provided,58,8,136,
Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,Neutral,Brand-Specific,Unknown,Provided,136,23,137,
Any other #Sxsw accounts I need to follow or apps to download for iPhone?,Neutral,Brand-Specific,Unknown,Provided,73,14,138,
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,Neutral,Brand-Specific,Unknown,Provided,116,19,139,
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},Neutral,Brand-Specific,Unknown,Provided,99,17,140,
BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,Neutral,Brand-Specific,Unknown,Provided,78,16,141,
Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},Positive,Brand-Specific,iPad or iPhone App,Provided,101,19,142,
Temporary #sxsw apple store. Apple being sneaky as usual  {link},Positive,Brand-Specific,Apple,Provided,64,10,143,
Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.,Neutral,Brand-Specific,Unknown,Provided,96,18,144,
ÛÏ@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.Û,Positive,Brand-Specific,iPad or iPhone App,Provided,111,17,145,
Apple won #SxSW from day one. Seeing a TON of #iPad2,Positive,Brand-Specific,iPad,Provided,52,11,146,
#fastball #sxsw Giving away two NEW Ipad2 wifi 32g black Apple cover tweet @mention fo more info #sxswi #attsxsw  Tonight @mention bo.lt house,Neutral,Brand-Specific,Unknown,Provided,142,23,147,
Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,Neutral,Brand-Specific,Unknown,Provided,129,24,148,
ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ @mention Did you manage to get yours?,Positive,Brand-Specific,iPad,Provided,121,20,149,
ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ also known as the white jeans configuration.,Positive,Brand-Specific,iPad,Provided,128,20,150,
Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,Positive,Brand-Specific,iPad,Provided,111,22,151,
@mention  #SXSW is an Austin conference. Do a google search - they have interactive / music / film.,Neutral,Brand-Specific,Unknown,Provided,99,18,152,
Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,Neutral,Brand-Specific,Unknown,Provided,67,14,153,
Anyone at #SXSW know if the apple store has had a new shipment of iPads yet?,Neutral,Brand-Specific,Unknown,Provided,76,16,154,
Marc Ecko #SXSW launches #iPhone app. to autodial political change! {link} #edreform #edtech #eduVC #FightThePaddle,Neutral,Brand-Specific,Unknown,Provided,115,15,155,
#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!,Positive,Brand-Specific,iPad,Provided,106,17,156,
@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,Positive,Brand-Specific,Unknown,Provided,99,16,157,
"More free #SXSW mp3 downloads, this time from iTunes: {link}",Neutral,Brand-Specific,Unknown,Provided,60,10,158,
Anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,Neutral,Brand-Specific,Unknown,Provided,81,16,159,
@mention  #SXSW prompt for memory: go to Google map and describe a childhood walk,Neutral,Brand-Specific,Unknown,Provided,81,14,160,
The Apple #SXSW store still has iPad 2's and short lines.,Positive,Brand-Specific,iPad,Provided,57,11,161,
Essential #sxsw tools: {link},Neutral,Brand-Specific,Unknown,Provided,29,4,162,
"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",Positive,Brand-Specific,Other Google product or service,Provided,127,25,163,
"Following #sxsw Tweets on Google Realtime, four platforms on Tweet Deck and listening to panel, realizing I'm spoken to no one here today.",Neutral,Brand-Specific,Unknown,Provided,138,23,164,
Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,Neutral,Brand-Specific,Unknown,Provided,123,29,165,
Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,Positive,Brand-Specific,iPad,Provided,117,22,166,
Solving a #SXSW-induced iPhone-in-toilet crisis at Apple Store with @mention (not my crisis for once),Neutral,Brand-Specific,Unknown,Provided,101,15,167,
"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",Positive,Brand-Specific,Google,Provided,134,22,168,
Attending #sxsw? Austin Guide by @mention is now free to download on iTunes - {link} #lp,Neutral,Brand-Specific,Unknown,Provided,88,16,169,
"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",Negative,Brand-Specific,iPad or iPhone App,Provided,126,22,170,
Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi,Positive,Brand-Specific,iPad or iPhone App,Provided,91,17,171,
ipad2 and #sxsw...a conflagration of doofusness.  {link},Negative,Brand-Specific,iPad,Provided,56,7,172,
attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,Positive,Brand-Specific,Apple,Provided,107,18,173,
I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link},Positive,Brand-Specific,iPad,Provided,72,16,174,
Hey #sxsw #sxswi folks. If you want to learn about security come over to #bsidesaustin {link},Neutral,Brand-Specific,Unknown,Provided,93,16,175,
Attending #SXSWi? Work in iPhone / iPad game development? Looking to hire an Austin-based iOS developer? I'm your man. Let's talk. #SXSW,Neutral,Brand-Specific,Unknown,Provided,136,22,176,
This is a #WINNING picture #android #google #sxsw {link},Positive,Brand-Specific,Android,Provided,56,9,177,
GSD&amp;M + Google 7-10. RT @mention What's the best party to hit tonight? #sxsw @mention @mention,Neutral,Brand-Specific,Unknown,Provided,98,16,178,
GSD&amp;M + Google Industry Party #SXSW @mention great to meet you  {link},Neutral,Brand-Specific,Unknown,Provided,74,12,179,
"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}",Negative,Brand-Specific,iPad,Provided,127,23,180,
#sxsw day 1 - Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link},Neutral,Brand-Specific,Unknown,Provided,104,17,181,
Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,Positive,Brand-Specific,iPhone,Provided,85,15,182,
It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw,Positive,Brand-Specific,iPad,Provided,108,21,183,
.@mention 1154 free songs from #SXSW (this year alone!) {link},Neutral,Brand-Specific,Unknown,Provided,62,10,184,
