id,date,text,target
27,6/20/2009,"@mallycakes THE WORLD DOESN'T REVOLVE AROUND YOU, BETCH. LOL jaykay. I'm just checking some CL e-mails I have no time ",0
28,6/1/2009,"@LaurenConrad , very bummed !! I live in CT and there was no audio!! ",0
29,5/21/2009,@daniellemhicks I know. such a cutie even when crying.  ,0
30,5/14/2009,Trying to coax little Linux netbook into playing #digitalplanet... may have to wait until I get home ,0
31,4/20/2009,"@justads Oh wow! How cool is that... Shame if you don't exactly sound like the song though, right? ",0
32,6/7/2009,Revisingggg for Business Studies Test on Tuesdayy! ,0
33,6/2/2009,"I predicted Forza3 would be at e3 and amaze, nice. ODST looks same old, shame. Creed2 set in shite time  but new SW:Tor trailer is all wow",0
34,4/20/2009,wants to go home already!!!! still in QC  http://plurk.com/p/p4ynm,0
35,6/16/2009,@tommygunn01 exactly - much better than my answer. Now I'm off to cry  LOL,0
36,5/30/2009,"Apparently Brandy (my dog) does want to be like me... with a torn ACL, she is going to require a second surgery on her left knee, too!!  ",0
37,6/2/2009,http://twitpic.com/6imul - My friends daughter how sad ,0
38,6/19/2009,Kerry we're REALLY not over you yet ,0
39,6/18/2009,Watching the Girl Alert episode of NA for the first time. Do I really have a lisp? And say 'like' that often? I am embarrassed... ,0
40,6/16/2009,Can't do anything on my bday bc of work... Bummed ,0
41,5/31/2009,@GillBH oh definitely!  that last scene still kills me... ,0
42,6/5/2009,"@kshpatel Me, too. Was planning on going out. But it's just me, the writing, and twitter distraction.  #FanonianNausea",0
43,4/18/2009,"@decryption I have a Locke figurine with him standing on the hatch, mine doesn't light up though ",0
44,6/25/2009,Spent yesterday in a bikini and sun-dress....today wondering whether I'm going to be able to hang out the washing ,0
45,6/6/2009,@steffy213 OMG YOU ARE GETTING THEM TOO  they just wont stop,0
46,6/16/2009,"@MaddieBug13 I LOVE YOU SO MUCH!!! I miss you!  I haven't seen you since Sunday morning. God, that feels like so long ago!!!",0
47,6/17/2009,@princetim so how you been babes? dont tell me you completely abandoned the zune for the ipod ,0
48,6/19/2009,It's supposed to b summer and its raining  I hate oregon.,0
49,6/6/2009,stop asking me  i'm only going to mess things up.,0
50,6/7/2009,and I end up with a ticket from bike cops.  Yeah....happy freakin' birthday!!  ,0
51,5/9/2009,Cracker barrel. No moneys ,0
52,6/17/2009,"@teruist Also, aggravating to know they can make oldschool vkei in PARODY but we struggle to try ",0
53,6/7/2009,"Heading back to the airport to be shuttled back to reality  it's always hard leaving the desert.. in Phoenix, AZ http://loopt.us/S-bq8g.t",0
54,6/7/2009,@jellayz oh no! i'm sorry  she was a good dog~,0
55,5/26/2009,needs to catch up on homework. Been slacking off. Ugh  Busy Busy Night...,0
56,6/7/2009,I feel kinda sad all of a sudden  I don't know why.,0
57,5/30/2009,I missed the Paramore show    /emo,0
58,6/15/2009,Just at home. And now I'm gonna learn for tomorrow! ,0
59,5/29/2009,I'm soooo sleepy  but I'm not a home just yet,0
60,5/30/2009,feeliing a little ,0
61,5/18/2009,"One the way home... more first class freebies, but also pins and needles in my foot ",0
62,6/18/2009,Doctors appt! ,0
63,4/17/2009,"Well I know what's wrong with my spine...but nothing to fix it right now, great...time for meds then bed time...story of my life... ",0
64,6/16/2009,@SimplyJay31 lmaooooo das so sad  atleast u don't have this long ride back to ny lol *yikes,0
65,6/16/2009,I want to have a dvd marathon  and where's that dickhead when I needed him?!,0
66,6/16/2009,mum quit twitter ,0
67,6/16/2009,just got up my eye is hurting so bad ,0
68,6/15/2009,@PhilboFaggins I wanna play it so bad.  ,0
69,6/16/2009,/meows @ billy. I hate leaving him outside  it's so cold!,0
70,6/6/2009,i cant date him because he is just my friend... and because i didnt want him to have some false hopes with me... ,0
71,6/1/2009,Jammed ! Stuck up and can't login www.nehabagoria.com is redirected to iam9.com Japnese site ,0
72,6/19/2009,@quakelive is screwed tonight  wanted to play some drunken fraggin,0
73,6/7/2009,@AKAmplish never cooked for me ,0
74,6/21/2009,@ang_manunusok hahaha... at least confused ka pa unlike me ,0
75,6/16/2009,Why am I taking courses over the summer?  I'm class-y in all the wrong ways. ,0
76,6/16/2009,Finally have native desktop identi.ca client on os x in form of nambu. woo. had to create password though ,0
77,6/23/2009,@brettburdeaux Dhl is not cable. They are packages. And they are in Swiss land so I THOUGHT they would be on time!  fail.,0
78,4/19/2009,@jawar what time does it start? I'm not sure..... Next tuesday I have plans.... We keep playing phone tag ,0
79,6/23/2009,I had my first singing lesson today in a ladies gargage!! My thoart hurts  I'm gonna have to get used to singing for hours at a time.,0
80,6/7/2009,@jodi_ice Oww  I'd love to meet you.. So sorry :'/,0
81,6/15/2009,@mileycyrus i think i am feeling the exact pain as u right now except its my bday ,0
82,6/15/2009,Woke up about 10 minutes ago...i've already sneezed 13 times...i've counted ,0
83,6/23/2009,I love the Food Network. I really want shrimp now. ,0
84,6/7/2009,Sad news and a sad day!! What will we do without Margaret on the Apprentice next year!  #fb,0
85,6/15/2009,@id10t2u Lol aww  im sorry to hear that,0
86,6/5/2009,Just caught a Sun egg in the #Dragon_Caveâ¦and now I'm scroll-locked again ,0
87,6/18/2009,extremely gutted ,0
88,6/5/2009,some people are just really gay ,0
89,4/19/2009,asot400 is down in the trending topics. too bad.  #asot400,0
90,6/25/2009,@apezface Nooooo! I have to leave at 5:30 today! ,0
91,6/16/2009,I'm being made fun of because I can't whistle ,0
92,6/16/2009,"@NeoplasmSix sounds interesting, but the link isn't working for me. Damn you, technology! ",0
93,6/15/2009,@matisyahu i wish i could be there ,0
94,6/6/2009,@NastyTaiBoogy OMG I WAS WATCHING SNAKES ON A PLANE TOO! lol best friend vibesss! lol and OMG  @tweety being stuck!,0
95,6/20/2009,Well now we r going home from this long day of having fun and i have a sun burn and a tan it hurts so much ,0
96,6/15/2009,@troytaylor86 Hey Uncle Troy! u gong live again today. I missed ya past 2 live streams  but these songs r HOT! Cant wait for da mixtape!,0
97,6/20/2009,weather for long beach this morning   120 5kt 5sm ra br sct 008 ovc 016 29.82,0
98,4/18/2009,running out of battery. bummed i can't live tweet notes from  @zephoria #tltsym09,0
99,6/5/2009,"@crazedwriter As a Christian, it is very frustrating to know that many people think we're all like that. ",0
100,6/18/2009,@Lopsi that link doesn't work for me ,0
101,6/22/2009,I loveee Jayde Nicole! It was so cooling seeing her in personn! To badd we couldnt chatt ,0
102,6/15/2009,I hate mother nature right now.  ,0
103,6/22/2009,@SebastienDS I miss you ,0
104,6/16/2009,"Going on a fieldtrip with the school today  whish I could just stay right here all day, but no such luck..",0
105,5/2/2009,I miss @memphis53rd. I wish I was feeling better. I don't wanna go to the hospital ,0
106,6/17/2009,Oh please god make it stop ,0
107,6/7/2009,everything I look forward to in the summer is crashing &amp; burning  at least Cedar Point will help fill the void...,0
108,6/19/2009,UP EARLY GOT WORK TO DO BUT I'M SOOO SLEEPY I DIDN'T GET NOT ONE WINK OF SLEEP ,0
109,6/16/2009,sorry i've been neglecting the site lately  i just started college.,0
110,5/3/2009,I have a final tomorrow and I don't care to study. ,0
111,5/10/2009,omg hard day of school today. two exams in one day. i hate school ,0
112,6/4/2009,Work tomorrow.......... ,0
113,6/5/2009,"@alannaelliott And my cell is dead  But yes, we shall discuss! =D Love you!",0
114,5/29/2009,okay up is sad again  *sniffles*,0
115,6/3/2009,"my dinner was soup, because my parents hate me ",0
116,6/1/2009,Ugh i hate the heat of arizona. ,0
117,6/19/2009,Stealing pats side of the bed is alot less fun with no pat ,0
118,6/18/2009,@LeeyahWay ,0
119,5/31/2009,"Autopsy done: they pulled off an electrolytic cap, resoldered it in the wrong place w/too much solder and covered other parts. Dead. ",0
120,4/19/2009,Damn I thought my migraines were gone but they aint ,0
121,5/3/2009,@gfalcone601 awk pet! hope your better soon ,0
122,5/10/2009,couldn't find a coaster for Mother's Day ,0
123,6/20/2009,I hate rain!! ,0
124,6/15/2009,"@ThatsHot9 Same. I've got college work, house cleaning etc. Better get started then ",0
125,6/2/2009,Someone's car alarm has been going off for the past ten minutes. It's times like this that I wish I didn't have a window office ,0
126,6/18/2009,you know those times when you feel like your so tired but cnt go to sleep lol thats how feel ,0
127,6/18/2009,"@WhiteHowler how dare you insult your loving, adorable wife ",0
128,6/25/2009,"@zk yep, found it: http://fifa2.feedroom.com/ #confed live stream for those of us still at work ",0
129,6/17/2009,Finally Done. Tired. Hungry. Can someone fund my hunger? ,0
130,6/15/2009,i got spacers today....they hurt ,0
131,6/17/2009,"allergic to smthg i ate today i think, kakiku gatel2 ",0
132,6/20/2009,family stuff tonight  wishing i was barhopping with @gbaby24 &amp; cash of course lol,0
133,6/7/2009,@Amrix lol havent worked that bit out yet - also wasnt allowed to take pics of performance  - its worth going to see it!,0
134,5/31/2009,@tommcfly it says the video isnt avaliable in your country ,0
135,6/1/2009,Morning everyone. On my way to work. ,0
136,6/25/2009,"@souksamrane @Juicebox_  no im not sure. thats why im asking.... was it??  i take it that no one has done it, as a no.",0
137,6/7/2009,@KatyinIndy Our first lady is disgusting ,0
138,6/18/2009,last day of my first year of college so sad  been best year ever n dnt no wt 2 do 4 10 weeks xx,0
139,6/14/2009,"Ugh it's summer, I shouldn't feel so stressed out about my two classes.  Super-sadness.Might as well go to bed, I can't think anymore.",0
140,6/7/2009,In bed hoping everythings alright... i hate when i get bad feelings like this and i cant get yu. Fuck ,0
141,6/17/2009,@deanschick I know! I'm so nervous. ,0
142,6/15/2009,"@EmmzGx certainly can be!! ;)  goooood song!!  lol sexy man!  my battery just died, dont think theres any plugs free ",0
143,6/14/2009,"@lindseak what the fish, i was SO close to getting om shanti om for five euro at the flea market! the guy sold it last week ",0
144,6/3/2009,"French exam was a load of bollocks, damnit ",0
145,6/19/2009, today sucks.... just like this week does.,0
146,6/21/2009,@activeducator This http://twurl.nl/4abtu6 link you mentioned is not working.  I was very interested too ,0
147,5/1/2009,Going to bed I wanna stay up for craig ferguson but I gotta work at 8 in the morning. sucky day ,0
148,6/18/2009,@itsanno  It's in the water. Stupid water. LOL,0
149,5/31/2009,Up not-so-nice and early  -eats school.,0
150,5/17/2009,"DC hasn't been able to win a single match against DD and KXP, in 4 encounters with each team. Mental block.  #ipl",0
151,6/1/2009,"almost 1 pm and I have done NOTHING. argh. i hate when i go to bed at 4 am, I'm slow to get to work the next day ",0
152,4/18/2009,@ohjennifer ohhh it didnt work  thats not good! xx,0
153,6/19/2009,Lost all my drawings cos of hard drive failure  Got a 320GB for Â£50 though   ^(^.^)^,0
154,5/1/2009,@kate38381849 omg omg omg omg KATIEEEEEEEEEEEEEEEEE y r u going to the airport??????? ,0
155,6/15/2009,@wendy_uk they should do at least a couple of shows or do smaller venues - there'll be some seriously upset fans over there ,0
156,5/30/2009,@Dangerous_T U so damn silly! I wish my head wasn't so foggy right now... ,0
157,6/18/2009,feels so damn guilty. My uncle is picking me up in Newark. He shouldn't have to deal with this yucky delay ,0
158,5/29/2009,ahahaha I'm dreaming so much and that is so bad because is not always true ,0
159,5/30/2009,Is so mad at herself. I slept in and just woke up and so im missing the boys baseball game  ,0
160,5/4/2009,Why is being at my dads so awkward? There's all there rich people talking about fancy holidays and business. I want to go home ,0
161,4/19/2009,Wow my dad just brought out his laser disc player from the basement and it still works. Lol to bad they don't still make laser discs. ,0
162,6/6/2009,@scanman Sounds miserable.  Feel better soon!,0
163,6/6/2009,That was almost 12 hours of sleep but feels like 2. ,0
164,6/2/2009,"@tommcfly TOM. PLEASE GIVE ME A SHOUTOUT BEFORE LEAVING.  I tweet you everyday, every hour.. but i don't get one back. ",0
165,6/20/2009,"@benroach That's true  he wanted a CD but it sold out, So now he's saying he just wants a quiet life, that's easier said than done. Lol",0
166,5/17/2009,Just cycled omg legs like jelly. ,0
167,6/6/2009,Mama cat still MIA ,0
168,6/17/2009,"omg, i hate my mum. Stupiud slag hardly lest me on the fone grrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr ",0
169,6/21/2009,Went grocery shopping this morning and was on the phone with Vizio - the new TV doesn't work already after just 5 months ,0
170,6/17/2009,@Rachelle_Lefevr I wish there was a Twi-con in Toronto or Montreal  but it's awesome you get out to as much as you can.,0
171,6/20/2009,Work on a frakin saturday!!!  some flutes are just evil.,0
172,5/30/2009,"Cancer sucks, and the worst part is seeing what the chemo side effects are on my little girl ",0
173,6/21/2009,i just broke my favorite mug ,0
174,5/29/2009,"@DavidGibbons Thanks for the link. I've been out of NY, missed many non-online bills so know how badly my score's been hit ",0
175,6/1/2009,"@gvoice So, I was totally wrong about your album art, Tommy totally has the soul patch too! I feel ashamed now... ",0
176,6/23/2009,No hair today. Have to wait until friday. Going to clean then walk. Drive later. Maybe to the lake? I miss @kateybby ,0
177,6/15/2009,@glasscase we can't hang on wednesday  but thursday y/n?,0
178,6/25/2009,it's going to be a long day ,0
179,6/17/2009,not sleeping thats for sure  i have terrible insomnia  omc im in love with mitchell davis,0
180,5/29/2009,Photovia homecoming) Well Karaoke is getting less popular now here in Japanï¿½ I really miss that  http://tumblr.com/x4h1wkwfe,0
181,6/19/2009,So what happened- I copied the youtube link from my email and didn't realize I also copied my email sig- including all my info ,0
182,6/7/2009,tight.. i was so close to going to summe rjam.. but na i wasnt into it like that.. but omg.. son Drake ? Jay-Z ? Day26 ? Sonnnnnn *tear* ,0
183,6/19/2009,Aw  my dads face is swollen ,0
184,6/22/2009,"A tear in my black jeans is exposing the lily-white skin of my upper, upper right thigh ",0
185,5/22/2009,Photo: Going to work again. This is my sad face.  http://tumblr.com/xtv1udlor,0
186,5/30/2009,Spent a gorgeous evening yest at the Taste Festival.  Missed Hugh because of bloody traffic &amp; therefore my chance to ask him to adopt me ,0
187,6/21/2009,@l3uttaflykisses girl I am still up!! Its 5am!! ps the guy singing at the bar had a shout out to one of our deseased patients ,0
188,6/17/2009, I've been bitten by bitey things all over my legs and it itches like fuck!,0
189,5/22/2009,Today is my babies last day of elementary school. She's growing up....I'm sad.  and happy at the same time.,0
190,6/18/2009,"@MusicalConstant If I had given up when things got rough, I wouldn't be here, now. Please cheer up, mate. It won't rain forever. *hugs* ",0
191,6/15/2009,I love when people get mad at me for being hurt ,0
192,6/23/2009,Off saving the world... Or atleast the pictures that somehow were deleted from my Post-Production computer while I was on Vacation. ,0
193,5/30/2009,@rajskub More Chloe for S8! Only 13 eps for S7 was rather disappointing. ,0
194,6/15/2009,I'm finally home after an hour of working out...I'm so tired now...I need someone to come cook for me b/c I'm too weak ,0
195,6/7/2009,beautiful day...but doing an accounting test ,0
196,6/5/2009,@ImCirocObama on W. Northrup....but its pretty much all gone  lol,0
197,5/22/2009,"going into work for a few hours ... it must be done, but means I fail to reduce TOIL this week ",0
198,6/23/2009,"@gooster Bad link, buddy.  ",0
199,6/3/2009,Missing my pooh bear ,0
200,5/3/2009,Just got home from work. My feet hurt again ,0
201,6/16/2009,on the grind with no time on my hands... im so sleeeepy ,0
202,6/16/2009,@Mollzie33 I Checked the lotto ticket. We didn't win.  call me tomorrow!,0
203,6/6/2009,Just say joe jonas dancing to beyonce's single ladies in a black leotard. . . Don't think I'll ever recover ,0
204,4/19/2009,eer... so much stuff to do and I just wanna sleep the whole freakin day and forget all about it ,0
205,6/15/2009,damn i juss finishd watchin the last episode of prison break and......michael scofield dies at the end !!!!!!!!!!! ,0
206,6/15/2009,@misspatch13 it all around sucks ,0
207,6/5/2009,@WordofMouthAtl its great! well its raining now  i put up pics on fb. check em out,0
208,6/22/2009,"Wants the new iphone 3gs, but cant have one ",0
209,6/15/2009,"@TinnyandOdd yes, exactly that!! Yuck  I think I would have maybe thrown up a little bit if I'd seen that!",0
210,6/15/2009,...and getting wet. it just starts raining very heavy. and it's a pretty long way down to my car  ,0
211,5/22/2009,@Marwan_vs_Shark I was a little sick today so I stayed in all day! ,0
212,6/5/2009,Bored out of my mind ,0
213,5/30/2009,"i'm sad LeBron, i wished you and the Cav's could have gone farther in the NBA playoffs ",0
214,6/6/2009,@VALERiiAC    i wanna go to prom with youuuu and i can't   DAMNNNIT. you're gonna be hottt. and you hung up the phone yesterday thanks &lt;3,0
215,6/1/2009,no funciona el twitter movil ,0
216,6/18/2009,"screamed like bloody mary. i was in the garage thinking 'wow i'm not scared', &amp; this gray animal comes up to me &amp; i think it touched me ",0
217,5/31/2009,I am up and leaving for work in 2 minutes after letting the dog back in from morning rounds! ugh... no sleep ,0
218,5/30/2009,I seriously need a new phone  this piece of sh*t is sooo lame. I can't keep throwing it against a wall to work :/,0
219,5/31/2009,@ellice_x aww noo! this stupid hayfever shouldn't prevend you from enjoying lovely weather!  xx,0
220,5/10/2009,@whiish did i do it wrong? am i bad? ,0
221,5/11/2009,@gallopingsalmon  hope all your blood work turns out ok. I'm going to miss hearing your voice tonight.,0
222,5/18/2009,I am @ work . Waiting on someone to come in my store ! I miss my Doo ,0
223,5/29/2009,Is stuck in some long ass traffic on the motorway...I'm not gonna get home until after 10pm  I'm so tired...,0
224,6/22/2009,"@ann_donnelly actually, am away on vaction that night  just realised",0
225,6/5/2009,Had an awesome day yesterday away from the computer. Needed that since both my rent and insurance payments bounced.  Shit.,0
226,6/18/2009,"luvin Spotlight on my iPhone, now i dont necessarily have to organize my 10 pgs of apps ;-)  BUT sad i still can't get stereo bluetooth ",0
227,6/20/2009,Ok. . .so I suck at air hockey. ,0
228,6/19/2009,@mtpflyers you are a crazy boy!  i'm not getting 3gs    cannot upgrade for free till December and would cost too much to buy out contract,0
229,4/7/2009,... wondering what a PMA is   ,0
230,6/1/2009,my final for pub won't open ,0
231,6/22/2009,Watching Mayor Fenty announce that 4 people died on the metro red line.  ,0
232,5/28/2009,&quot;Good things come for boys who wait&quot; y yo llevo esperando a una vieja asï¿½... ,0
233,6/18/2009,"@ZeROCTRL no WIP for this one...sorry  This is the base model I am working on, for normal maps...so will have lots of detail.",0
234,6/6/2009,my legs still hurt ,0
235,5/18/2009,chorus adventures: sight singing ! yay ,0
236,6/19/2009,"Okay, it's Friday and I should be more excited about it.  But hey maybe I will switch to Geico and save a ton of money with the lizard.",0
237,6/20/2009,I look like Cinderella's ugly step sister...My eye became swollen ,0
238,6/18/2009,"@belladesign Will everything be done on 7/17, like flowers too? Cuz we can't do 7/18. ",0
239,6/18/2009,"@capitalc73 too soddin long - january  white, huh? whatever u do, i'm excited for ya!",0
240,5/10/2009,i am dooing homework!!  (can't believe that they give it out over the weekend!!!    :9,0
241,4/19/2009,@randomapricot swapping places with us by the looks of things ,0
242,6/3/2009,"Apparently, I can't sleep past 8:30am, no matter how late I go to sleep. This totally sucks, because I'm still tired. ",0
243,6/3/2009,@vlastikb picture quality not optimal because i was awkward about hwo to display it ,0
244,6/17/2009,watchin &quot;Steel Magnolias&quot; Julia Roberts died in the movie ,0
245,5/3/2009,"I really, really want to start writing again. But I am not inspired yet. ",0
246,6/7/2009,"@liveonmars lol! Good for you on the jog, I skipped it today. So I'm sure I feel it tomorrow. ",0
247,5/30/2009,"Werder Bremen has won!! I'm sooo happy! But I'm very sad, too because IT WAS DIEGO'S LAST MATCH for Werder... ",0
248,6/1/2009,trying to identify the problem of my notebook's battery.. ,0
249,6/20/2009,"@gilbirmingham oh no!!!! I just started following today and I soo thought you would do it  Oh well, the next challenge we shall conquer!",0
250,6/3/2009,urgh my computer is going REAL slow ,0
251,6/16/2009,@logan_weisner What time is it in Dubai? It's nearly 6am and I STILL can't sleep  Do u want me to pick u up from airport?,0
252,6/15/2009,I wish I was somewhere... like London. ,0
253,5/14/2009,@FBIPressOffice I wanted to work for the FBI when I was young. I did a couple things that negated that dream ,0
254,5/29/2009,Ok..ok...my house needs cleaning...clothes need washing...time to put twitter away for awhile...wahhhh ,0
255,6/16/2009,Headed to dinner with @djh2004 hmmm probably one of the last... Sad day ,0
256,6/17/2009,Ohhh I hope one of the H&amp;M stores near Pittsburgh will carry Jimmy Choo's. I want a pair! But ohhh a 5 month wait for that   xxoo,0
257,5/31/2009,nobody is online in my msn ,0
258,6/20/2009,Starting to get nervous about leaving Jboy at Preschool ,0
259,6/18/2009,"really should tidy my room, but so much is on my mind ",0
260,6/1/2009,"@KaarinE Shortage of DPS or shortage of knowing left from right? Either way, that sucks ",0
261,6/23/2009,WHERE ARE MY #awesomeclub MEMBERS?! ( @williamjone @_kimberlynicole ) omg we havent had a meeting in forever!!! ,0
262,6/19/2009,@britneyspears awe i wish i could have been there ,0
263,6/15/2009,@nataliebailey  Sorry to hear that m'dear!  Feel better soon!,0
264,6/17/2009,"@Franman247 if you think thats bad... http://bit.ly/UNr9w  Bad source but still, its sickening...",0
265,6/19/2009,wish i lived near NYC  that way i'd be able to see @jakeandamir perform!,0
266,5/26/2009,night #6 and puppy still cries before going to sleep ,0
267,5/4/2009,Nets not resets   countdown to midnight begins.  6 hours to go.,0
268,5/4/2009,"kinda peeved that all my pop is gone... i dont get alot of luxuries in life right now, and everyone drank my pop while i was gone ",0
269,6/16/2009,i need friends who will share in my delight at the resort 10 collections ,0
270,6/1/2009,@shutuhpmarice MARICE! a porn star was following me  hahahahha i blocked HER.,0
271,5/29/2009,my cousins are going to the city &amp; didnt invite me ,0
272,5/17/2009,"@NikHampshire, I really wanted to go but was dragged out to family dinner cause my brother also graduated and got back super late. ",0
273,5/10/2009,Shit! I'm kriss kross - i missed the bus   schijt  Arriva!! On my way 2 mah J O B. Zo geen zin!!!,0
274,6/16/2009,I really don't know what I'm going to do without my kitties.... ,0
275,6/22/2009,@TweetDiane I totally agree...going into work with 24 4 yr olds on 4 hrs of sleep...not so good...now I am studying for an exam ,0
276,6/21/2009,"Stupid cold, with your sneezing and sore throat! Also where has the sun gone! ",0
277,6/1/2009,"@JonathanRKnight OMG, NO!! Don't say that!! *sniff* ",0
278,6/18/2009,Tried to watch &quot;Tibet: Cry of the Snow Lion&quot; during breakfast. Too sad ,0
279,6/6/2009,Just a little longer and the boring weekend begins. ,0
280,6/6/2009,@KimKardashian yeah ..twice ,0
281,6/19/2009,"@danger534 hey,why r u sad? ",0
282,6/15/2009,went to work out but the workout room is closed ,0
283,5/14/2009,boat crashed &gt;&gt; boat damaged &gt;&gt; boat @ docks for repairs &gt;&gt; no sailing 2mrw! ,0
284,6/18/2009,hubby justy told me he's goin 2 Chicago on Monday  4 2 days! boo hoo,0
285,6/18/2009,@macsbabygurl I cant either!  It's so small in my room and it makes it SOOOOO hot!!! ,0
286,5/30/2009,maybe next year king james ,0
287,4/19/2009,"Just got home from church.  Wish it was warmer today, I really wanted to golf!!  ",0
288,5/22/2009,@ALOliver o thats not good  She'll c u ok when she's rich &amp; famous Lol,0
289,6/18/2009,days come and go but my feelings for you are forever  I shouldnt miss him but I cant help feel like Im just in  bad dream &lt;3Pot Pie,0
290,5/29/2009,ahh everyone's out today taking in the sunny weather except me  might go and watch some tv...,0
291,5/18/2009,@stelleisonfire me 2! ... best night ever! XD ... sorry for the late reply laptop broke  .... hvnt heard anything good on in cardiff sos,0
292,6/1/2009,"@JoannaHang Seriously! So sad, so sad ",0
293,6/24/2009,"@LuvinMeSomeD I know! I so wish there was a way I could get there, but I just can't ",0
294,5/29/2009,@totalgunner Ive twitpic-we him before so you might be able to find him LOL. Aw thats so sad!  ooh piranhas? Scary lol,0
295,6/6/2009,@WhatsTheT  I thought I had offended @booskee9 ... I felt really bad cause of what I had on..thought he saw me like a slut ,0
296,5/30/2009,ah well Cavs lost ,0
297,6/6/2009,ahhh revision!  i really should start haha,0
298,6/2/2009,I flipping hate doctors waiting rooms ,0
299,6/2/2009,had a pretty happy eofys but spented all her monies ,0
300,6/15/2009,Ate too much at the the most amazing French dinner!! Now I must drive home  Meghann is cool!!!!!,0
301,6/14/2009,"Nose hurts like a bitch, had to repeirce it myself. Feels like I broke it! ",0
302,6/1/2009,about 4 hours since @KrystalSpee left.. missen her already.. ,0
303,6/18/2009,TweetDock doesn't let me to send any new tweets. Each time I press send its crashing. It needs update guys. Sent from twitterific ,0
304,6/20/2009,"knew i should have put a bet on tevez buggering off! damn you fergie, my two favourite players in the space of two weeks?! ",0
305,6/16/2009,Ps i just heard a hung up/call me madonna/blondie remix blew my mind. There there was country ,0
306,5/31/2009,i dont feel pretty todayyy....my bangs arent cooperating with me. ,0
307,6/6/2009,on the train.. up since 6 nd slightly hungover.. ,0
308,6/17/2009,4 hours remaining ,0
309,6/21/2009,in brisbane. i have to work tomorrow ,0
310,6/4/2009,My dog is officially blind in her left eye  she will be 13 in august,0
311,6/6/2009,@joyjavier awww dats sad for u. i couldnt even go sumwer today. mine is way worser than urs ,0
312,6/1/2009,@sammy1986 i know !   i watched it.  how sad ?!    i hate sunburn btw.,0
313,6/19/2009,@emmaa_jadee she's gone for good. All good things must come to an end ,0
314,5/31/2009,Low batt...  titip di mas2 dulu deh buat di charge,0
315,5/3/2009,@tapjazzballet45 i guess we missed you!   WELL HAVE AN AMAZING TRIP!!! WE WILL MISS YOU SO MUCH!!!,0
316,5/26/2009,@monipython I don't even no haha like something that happened at school or something but yeah I'm upset about prop 8 ,0
317,6/18/2009,"It's time to say goodbye. Will tweet only sunday . On the road for 8 hours, great. Love ya and I miss yaaaa ( surtout Maww  )",0
318,6/17/2009,I should be sleeping. But I don't want to ,0
319,6/3/2009,@LittlePatterson well i hope so but it could still fuck up  getting deposit &amp; referencesso fingers crossed x,0
320,6/17/2009,up way too early.gotta head to the hospital for my MRI.cant put it off any longer.   then work after,0
321,5/30/2009,"great weather, summer soon D, school is ending even though it doesnt seem to want to haha =P and the dramas are taking over again.. ",0
322,6/15/2009,i dunno what to do ,0
323,5/30/2009,"...to the sherwood forest gig in june, is ther neway of getting VIP tickets for that? looked on the net but cant find nething? ",0
324,6/19/2009,Just burned my tongue on my green team ,0
325,6/21/2009,"Viendo The Big Bang Theory, es tan divertida, y tal real ",0
